name,description
(Guant) Tom Marvolo," Tom Marvolo (Surname of Riddle) was the daughter of Merope Guant. To see more, see Riddle, Tom Marvolo or Voldemort.
 "
Ghoul (of the Weasleys)," The creature that is living in the attic of the Weasley house.
 "
Giant Squid (of Hogwarts)," A friendly giant squid that lives in the Hogwarts lake. It swims with students after owls in Book 5, and saved Dennis Creevy after he fell in the lake by putting him back into the boat (on his way to Hogwarts"
Anthony Goldstein," A prefect Ravenclaw boy in Harry’s grade who is a member of the D.A.
 "
Golgomath," The giant that killed the Giant Karkus and took Karkus’s position as the Gurg. He prefers the death eaters to Hagrid and Madam Maxine.
 "
Golpalott," A man who set down the law saying that the antidote for a blended poison will be equal to or more than the sum of the antidotes for each of the separate components.
 "
Gordon,  A boy in Dudley’s gang.
Miranda Goshawk, Author of the Standard Book of Spells series.
Goyle, Father of Hogwarts student Gregory Goyle (below) and an active death eater.
Gregory Goyle," A boy in Slytherin in Harry’s grade who is friends with Draco Malfoy. His father is a death eater along with Malfoy’s father and Crabbe’s (See Crabbe, Vincent) father. He is a beater on the Slytherin quidditch team in books 5 and 6. He has short hand and gorilla"
Merton Graves," Plays cello for the wizarding band the Weird Sisters.
 "
Grawp," Hagrid’s 1/2 brother from his mother’s side who is 16 feet tall. Hagrid hides him in the forbidden forest after bringing him back from his journey with the giants. Hagrid asked Harry, Ron, and Hermione to teach his English. Calls Hagrid “Hagger” and Hermione “Hermy”.

 Greengrass, Daphne"
Gregorovitch, Bulgarian wand maker who made Viktor Krum’s wand. Was later killed by Voldemort when he was looking for the Elder Wand.
Gregory the Smarmy," A medieval wizard who created Gregory’s Unctuous Unction; a potion that made the drinker think the person who gave it to them was their best friend. There is also a statue of him in Hogwarts with a secret passage behind it.
 "
Grenouille," A character who was a keeper in a play by the French playwright Malecrit who wrote “las, Je me suis Transfigurles Pieds”"
Grey Lady (Helena Ravenclaw)," The Ravenclaw house ghost. The daughter of Rowena Ravenclaw, she stole her mothers diadem to become more clever and smarter than her mother. Then she was murdered by the Bloody Baron who loved her."
Fenrir Greyback," A friend of the Malfoy family who Draco threatened Borgin with in Knockturn Alley. He is a very dangerous werewolf who sets himself near lots of muggles and wizards when he turns into a werewolf; hoping to bite more people. He was actually the wizard who bit Remus Lupin (See Lupin, Remus). He comes to Hogwarts to attack at the end of Book 6 and bites Bill Weasley while in his human state. Bill’s face gets torn a cut very badly, but we are not sure if he will be a werewolf or not; seeing Greyback was still in his human form."
Glynnis Griffiths, Seeker for the Holyhead Harpies quidditch team.
Elias Grimstone," Broommaker who created the Oakshaft 79
 "
Gelert Grindelwald," The wizard that Dumbledore defeated in the 1945. Was best friends with Dumbledore back in the day before they had a falling out where Dumbledore’s sister Arianna was killed. He was defeated by Albus and spend the rest of his days in Nurmengard prison. He was murdered by Voldemort in his quest to find the Elder Wand.
 "
Gringott," The goblin founder of Gringott’s Wizarding bank.
 "
Griphook, A goblin who works at Gringott’s Bank.
Grubbly,"Plank, Professor"
Alberic Grunnion, The inventor of the dungbomb.
Godric Gryffindor, Found of the house of Gryffindor. He prized courage among the student. He was also the one who thought of the idea of the sorting hat.
Malodora Grymm," A hag who used a beauty potion to make her look beautiful. She married the king of the land, and poisoned the prettiest girl in the area because she was jealous of her.
 "
Platform Guard,"  The man who guards platform 9 3/4 and collects the ticket to the train.
 "
Davey Gudgeon,  A boy who almost lost an eye by playing a game of trying to touch the trunk of the Whomping Willow.
Galvin Gudgeon, The seeker for the Chudley Cannons who is a bit bim
Gladys Gudgeon, One of Lockhart’s biggest fans who writes to him weekly.
Gunhilda of Gorsemoor,"  An ugly with who was a great healer; developing a cure for Dragon Pox. She also has a statue of herself in Hogwarts which is also a secret passage. If you say the password, her hump on her back opens up to a tunnel, leading to Honeydukes cellar.
 "
Gunhilda," A witch mentioned in a letter from Goodwin to his cousin Olaf in Quidditch through the Ages. It says that she had dragon pox, and was not up to playing quidditch, so they had to use Radulf the blacksmith instead (probably not the gunhilda mentioned above)"
Gwenog, A witch who was not very liked because she played quidditch.
Rubeus Hagrid," He was the wizard (1/2 giant) who delivered Harry to the Dursleys when he was a baby. He then came back 10 years later (when Harry was 11) and told Harry he was a wizard, brining him to Hogwarts. He was keeper of game and keys at Hogwarts until Book 3, where he had these jobs plus a new one; Care of Magical Creatures teacher. He is an active member of the Order of the Phoenix; where he went on a large mission in Book 5; where he had to convince giants not to go on the side of Voldemort. He also brought back his 1/2 brother Grawp with him. Is also a friend of Harry, Ron, and Hermione. He was expelled from Hogwarts when he was in his 3rd year, after supposedly raising the monster in the chamber of secrets (which was later proven incorrect)
 "
Hagrid," Father of Rubeus Hagrid who died when Hagrid was in his 2nd year of Hogwarts. Was married (or assumed) to the giant Fridwulfa (look under F section). Raised Hagrid on his own after Fridwulfa left.
 "
Ciceron Harkiss, Gave Ambrosius Flume of Honeydukes his first job.
Harper," A Slytherin boy in Ginny’s year who filled in for Malfoy in a Quidditch game in Book 6.
 "
Warty Harris, A wizard whose toads were stolen by Mudungus Fletcher.
Hedwig the owl, Harry’s pet snow owl who was attacked in Book 5 and killed in book 7.
Hengist of Woodcroft, Moved to Scotland and started the wizarding village of Hosmeade.
Hengist of Upper Barnton, Giant killed by a giant
Hermes," Percy’s owl which was a gift for becoming a prefect.
 "
Hermy," The name given to Hermione Granger (see Granger, Hermione) by Grawp (see Grawp above)"
Herpo the Foul, The creator of the basilisk and a parseltongue.
Bertie Higgs," A man who went hunting with McLaggen, his uncle Tiberius, and Rufus Scrimgeour."
Terrence Higgs," The seeker for Slytherin in Book 1, who graduated and then was replaced by Malfoy."
Glover Hipworth," Invented the peppermint potion, which cures a common cold.
 "
Hokey, A house elf that was owned by Hepzibah Smith.
Rolanda Hooch," She teaches flying class to first years and is pretty much in charge of all things to do with quidditch. She keeps the ball box in her office, and is the referee in quidditch matches."
Geoffrey Hooper," Tried out for keeper in Book 5 and flew better than Ron Weasley, but was a whiner therefore not making the team."
Malfalda Hopkirk," Employee of the Improper Use of Magic Office at the Ministry of Magic who sends letters to underage wizards who used magic.
 "
Hoppy," One of Newt Scamander’s pet kneazles.
 "
Olive Hornby," Witch who teased Myrtle (Moaning Myrtle) and found her dead. She was then stocked by Myrtle’s ghost.
 "
Hornby, Brother of Olive Hornby who had his wedding haunted by Moaning Myrtle.
Basil Horton, Played for the Falmouth Falcons who started the Comet trading company (along with Randolph Keitch).
Old Mother Hubbard, A hag who lured animals into her house and starved them to death.
Helga Hufflepuff," Founder of the house of Hufflepuff and one of the founders of Hogwarts who favored loyal students.
 "
Humongous Bighead, The name that Fred and George Weasley changed Percy Weasley’s head boy badge to say.
Ickle Diddykins," A name that Aunt Petunia calls her son Dudley (see Dursley).
 "
Inigo Imago, Author of the Dream Oracle.
Ingolfr the Iambic, A poet from the 1400’s who wrote some about Quidditch.
Ivanova, Chaser on the Bulgarian Quidditch Team.
Joey Jenkins, Beater for the Chudley Cannons.
Leonard Jewkes," Created the Silver Arrow Racing Broom.
 "
Arsenius Jigger," Author of Magical Drafs and Potions, which is a book required for 1st year students for potions."
Angelina Johnson, A Gryffindor house chaser from books 1 through 5. She was also quidditch captain in book 5. She is a tall black girl who went to the Yule Ball with Fred Weasley.
Gwenog Jones, Captain and beater of the Holyhead Harpies.
Hestia Jones, A member of the advanced guard of the Order of the Phoenix who came to get Harry from the Dursley’s in Book 5.
Lee Jordan," A boy with dreadlocks 2 years older than Harry and best friends with Fred and George Weasley. After Fred and George left in Book 5, he levitated nifflers into Umbridge’s office to destroy it. He was also the commentator at the quidditch matches in Books 1 through 5."
Bertha Jorkins," A witch who worked for the Ministry of Magic. She disappeared after traveling to Albania to meet a cousin. She had a history of not a great memory (though in school she had a great one) and people thought she had just lost track of time while she was missing. It turned out that she was tortured for information by Lord Voldemort and killed. She also had a memory charm put on her Barty Crouch Sr. (See Crouch, Barty Sr.) after she overheard him talking to his son."
Jugson, Death eater who fought in the Department of Mysteries in Book 5.
Igor Karkaroff," Former head of Durmstrang who used to be a death eater. He did not go to Azkaban because he gave names of other death eaters. He fled at the end of Book 4, and it was hinted in book 6 that he was killed by death eaters.
 "
Karkus, Name of the Gurg of the giants when Hagrid and Madam Maxine first arrive in the mountains in Book 5. He was killed by another giant (as giants usually do). He favored Hagrid and Madam Maxine more than the new Gurg did.
Gertie Keddle," A witch who write about quidditch in a diary, from the times that the quaffle was made out of leather."
Roland 1 Kegg, President of the English Gobstones Quidditch team.
Randolph Keitch, Played for the Falmouth Falcons and started the Comet Trading Company (along with Basil Horton).
Professor Kettleburn," Care of Magical Creatures teacher before Hagrid, retired after Book 2.
 "
Elladora Ketteridge," The witch who discovered the use of gillyweed.
 "
Kevin," A little boy at the quidditch world cup who took his father’s wand and enlarged a slug. His mother then took the wand away.
 "
Kevin’s mother, Took the wand away from Kevin and accidentally stepped on an enlarged slug
R.J.H. King, A name that appeared on a plaque for Gryffindor Quidditch in the film Harry Potter and the Philosopher’s Stone. This character does not appear in the book.
Andrew Kirke, Replaces one of the Weasley twins in Book 5 as beater on the Gryffindor Quidditch Team after the twins receive a life long ban.
Goodwin Kneen, Wrote to his cousin about the game of Kwiddich (now spelled Quidditch.)
Gunhilda Kneen," Wife of Goodwin Kneen (above) who played catcher (now known as chaser) for the Ilkley team. Could not play 1 match, and when her husband came back celebrating their win of that match, fired of many jinxes."
Montague 1 Knightley," Wizard Chess Champion.
 "
Kreacher," The treacherous house elf that belonged to the Black family. He was very fond of Mr. and Mrs. Black (Sirius’s parents), most especially Mrs. Black. He used to live in a cabinet in the kitchen. He was the one who betrayed his master Sirius Black and told Harry that he was not home (Harry then assumed he was taken to the Department of Mysteries by Voldemort). Once Sirius died and left Harry all of his possessions, Kreacher became Harry’s servant. Harry sent him to live at Hogwarts and work in the kitchens. He was also assigned a job by Harry to follow Malfoy around in Book 4.
 "
Krum," Father of Victor Krum. Described in Book 4 as having a hooked nose, such as his son does. He came to visit his son in the 3rd task of the Triwizard tournament in Book 4. Live in Bulgaria.
 "
Krum, Mother of Victor Krum. Described in Book 4 as having dark hair. She came to visit her son in the 3rd task of the Triwizard tournament in Book 4. Live in Bulgaria.
Victor Krum," Bulgarian Seeker on their national quidditch team. Was also the champion for Durmstrang (his school) in the Triwizard Tournament in Book 4. He went to the Yule Ball with Hermione Granger (see Granger, Hermione) in Book 4, and was written a novel by her in Book 5. He invited her to come and stay with him in the summer between her 4th and 5th year, but she declined (we think) because she was with Ron Weasley in Grimmauld place (the headquarters of the Order of the Phoenix) in the beginning of book 5 (summer between year 4 and 5). Hermione was also the 1 thing that he would miss the most; because she was at the bottom of the lake for Krum to save in the Second Task of the Triwizard Tournament."
Lachlan the Lanky," A statue of this wizard is on the 7th floor at Hogwarts.
 "
Landlady of the Green Dragon, Faked her own death (was supposedly killed by a lethifold).
Leanne, Hogwarts student with harry. She was a friend of Katie Bell’s and was with Katie when she touched the cursed opal necklace while visiting Hogsmeade.
Morgan 1 le Fey, Queen of the island of Avalon and a great healer during Queen Arthur’s time.
Amarillo 1 Lestoat, Author of A Vampire’s Monologu; which is intended to make the readers bored so they are better prey.
Bellatrix Lestrange," Is believed to be Voldemort’s number 1 death eater. Married Rudolph Lestrange and is the sister of Narcissa Malfoy and Andromeda Tonks. Has no children and was in Azkaban. She escaped in Book 5 with a lot of other death eaters. And she was also fighting in the department of ministries, where she killed her cousin Sirius Black."
Rabastan Lestrange, Brother of Rodolphus Lestrange and a death eater.
Rodolphus Lestrange, Husband of Belatrix Lestrange and a death eater.
Levski, Chaser on the Bulgarian National Quidditch Team.
Su Li, A Ravenclaw girl in Harry’s year.
Dai Llewellyn, Quidditch player for the Caerphilly Catapults who was eaten by a chimaera. Had a ward for bites named after him in St. Mungo’s.
Guthrie Lochrin, A wizard who complained about splinters in his bottom from a broomstick.
Gilderoy Lockhart," The Defense Against the Dark Arts Teacher in Book 2. Was famous for doing many famous things, none of which he really did. He heard the story in detail from the witch or wizard who really did it, and then gave them a memory charm and took credit for their story. He looses his memory by trying to perform a memory charm on Harry and Ron, but Ron’s broken wand backfires and he loses his memory. He now lives in St. Mungo’s and does not know who he is.
 "
Algie Longbottom (), Neville’s great uncle who played several tricks on Neville to make him show magical ability. He also bought Neville Trevor the Toad. He also got Neville his mimbulus mimbletonia from Assyria.
Alice Longbottom," Wife of Frank Longbottom and mother of Neville Longbottom. Used to be an auror until she and her husband were tortured by Death Eaters until the went insane. Round faced like her son, and now lives in St. Mungo’s. She and her husband escaped Voldemort Three Times.
 "
Augusta Longbottom," Mother of Frank Longbottom and grandmother of Neville. She raised Neville after her son and his wife went insane due to torture by death eaters. She takes Neville to see his parents during holidays, and is always telling Neville to live up to the family name and be proud of his parents because before they were insane, they were great aurors.
 "
Ernid Longbottom (), Great Aunt of Nevile Longbottom who came in when Neville’s great Uncle Algie was holding Neville out of a window. She came in and Uncle Algie dropped Neville.
Frank Longbottom, A great auror and father of Neville Longbottom. He and his wife Alice were tortured by Death Eaters until they went insane. He now lives in St. Mungo’s. Him and his wife escaped from Voldemort three times.
and he was born at the end of July (1 day before Harry and was one of the last ones standing. He also fought when the death eaters came to Hogwarts in Book 6. This braveness is probably how he got into Gryffindor. He did not show any magical powers until he was 8. He could also have been the boy that the prophecy (about Harry) was written about. His parents defied Voldemort 3 times probably being one of the most improved students. He went to fight in Book 5 in the Department of Mysteries therefore sharing a dormitory with him. He is fairly bad at school with the exception of herbology. He was in the D.A. therefore he was raised by his grandmother; Augusta Longbottom. He is a round faced boy who is a bit of a klutz. He was born on July 30th and is in the same year and house as Harry Neville– Neville Longbottom is the son of Alice and Frank Longbottom. His parents were tortured and went insane Longbottom," July 30) Becomes the Herbology Professor of Hogwarts and marries Hannah Abbott.
 "
Lovegood," Mother of Luna Lovegood who was a great witch and liked to experiment. She died when one of her experiments (a spell) went wrong, and Luna saw it."
Xenophilius Lovegood,"Father of Luna Lovegood who is the editor of the Quibbler. He published Rita Skeeter’s article about Harry in the Quibbler, which sold extra well that issue that the reprinted it. His newspaper talks about unusual things that some people do no think is true (Hermione for example). A believer in the Deathly Hallows."
Loopy Lupin Loony, A nickname that Peeves the Poltergeist gives to Professor Lupin in Book 3.
Artemisia Lufkin," First witch to become Minister of Magic. Wizard of the Month on JKRowling.com on February, 2005."
Nymphadora (Dora) Tonks Lupin, See Nymphadora Tonks
Remus J. Lupin," The Defense Against the Dark Arts teacher in Book 3. He was also best friends with Sirius Black, James Potter, and Peter Pettigrew when he attended Hogwarts. He is a werewolf and was bitten when he was young. He is a member of the Order of the Phoenix and was a Gryffindor when he was younger. He was also made a prefect so that he could try and get his friends to behave. He has a girlfriend (or we all hope he will come to his senses and accept) who is Nymphadora Tonks. Was murdered in Deathly Hallows by Dolohov in the final battle."
Ted “Teddy” Remus Lupid, Orphan son of Remus and Tonks Lupin. He was raised by his grandmother and had regular meals with his godfather Harry. He is a metamorphmagus like his mother and is dating Victoire Weasley.
Aidan Lynch, Seeker for the Irish National Quidditch Team.
Magnus Macdonald," Headed a campaign to get rid of the game of Creaothceann, but failed."
Morag MacDougal, A student in Harry’s year (house unknown)
Hamish MacFarlan, Captain of the Montrose Magpies and former head of the Department of Magical Games and Sports.
MacFusty, Clan of wizards who take care of the Hebridean Black dragons on the Hebrides Islands.
Ernie Macmillan," A Hufflepuff boy who is in Harry’s year. He is a prefect in Book 5, and is also a member of the D.A."
Walden Macnair, A death eater who works for the Ministry of Magic as an executioner. He was also sent by Lord Voldemort to get the giants on their side in Book 5. He was sent to Azkaban at the end of Book 5 along with many other death eaters for fighting for Voldemort in the department of mysteries.
Alasdair Maddock, Chaser for the Montrose Magpies who tried to tie quidditch in with muggle sports such as soccer (football) and basketball.
Laura Madley, A girl sorted into Hufflepuff in Book 4.
Queen Maeve, A witch from Ireland who trained witches and wizards before Hogwarts.
Magorian, A centaur who lives in the Forbidden Forest and warns Hagrid to stay out of it.
Malcolm, A boy in Dudley’s gang.
Abraxas Malfoy, Draco Malfoy’s grandfather who died of Dragon Pox and knew Slughorn.
Draco– The son of Lucius and Narcissa Malfoy who comes from a pureblood family Malfoy," the Blacks and the Malfoys. He does not think highly of anybody who is not pureblood. He is Harry’s rival in quidditch as well as everything else. He is the seeker on the Slytherin quidditch team in books 2 through 6, and made it on the team by buying the whole team Nimbus 2001 broomsticks. Is a prefect in Book 5, as well as on Umbridge’s Inquisitorial Squad. In Book 6, it is proven that he is a death eater and has a job to bring death eaters into Hogwarts. He does so, and tells Dumbledore he will kill him. A gang of death eaters come out of them, and Snape kills Dumbledore. He is nearly killed in Book 6 by Harry Potter, who performs a spell on him without knowing what it was. His mother is a cousin of Sirius Black. Draco is almost killed a few times in Deathly Hallows and is saved by Harry."
Lucius Malfoy," The father of Draco Malfoy who is a death eater. He has the same thoughts as Draco about muggle borns and muggles. He is very rich and arrogant. He fought in the Department of Mysteries for Voldemort in Book 5, where he was caught and sent to Azkaban."
Narcissa (Black) Malfoy," The mother of Draco Malfoy, and the wife of Lucius Malfoy. First cousin of Sirius Black, and sister of Andromeda Tonks and Bellatrix Lestrange. She asked Snape to help her son Draco in the second chapter of Book 6. Her sister, Bellatrix, then preformed an unbreakable vow on Snape to protect Draco. Her nickname is Cissy."
Scorpius Malfoy, Son of Draco Malfoy and unknown wife.
Malecrit," Playwright who wrote “Hélas, Je me suis Transfiguré les Pieds”"
Malkin," Known as Madam Malkin, she owns the robes shop in Diagon Alley; Madam Malkin’s Robes for All Occasions."
Mangorian," A centaur who lives in the Forbidden Forest who is the leader of them. He, like the other centaurs, does not trust humans."
Griselda Marchbanks," Head of the Wizarding Examinations Authority and a member of the Wizengamot. She resigned from her job when Umbridge became high inquisitor of Hogwarts. She tested Dumbledore and Harry in their O.W.L.S., and is a friend of Neville’s grandmother."
Beaumont Marjoribanks, Found many rare and magical plants.
Marsh," Madam Marsh appears in both times that Harry has ever ridden the knight bus. She was there in Book 3 and got off at Abergavenny seeming sick, and in the second time on the night bus in Book 5 she was ill and vomited."
Mason," (Mr. & Mrs.) Guests of the Dursley’s in Book 2. Vernon Dursley hoped to make a deal of work with Mr. Mason. They left when a pudding fell on Harry, and when an owl came swooping in over Mrs. Mason’s head."
Olympe Maxime," Headmistress of Beaxbatons. She, like Hagrid, is half giant (though she denied it) and goes on the mission with Hagrid in Book 5 to get the giants on Dumbledore’s side. She is a talented with who can do great spells."
Mauler, One of Newt Scamander’s pet kneazles.
McClivert, A clan of wizards who lived on the Island of Drear and were all killed off by the MacBoons.
Dugald McClivert, Head of the McClivert clan (above).
Catriona McCormack," Former chaser and Captain of the quidditch team the Pride of Portree. Her two children are also famous; her son is in the band the Weird Sisters, and her daughter also a quidditch player."
Kirley McCormack," Son of Catriona McCormack (above), brother of Meghan McCormack (below) and lead guitarist in the wizarding band the Weird Sisters."
Meghan McCormack, Keeper for the quidditch team Pride of Portree. Sister of Kirley McCormack and daughter of Catriona McCormack (both above).
Natalie McDonald," A girl sorted into Gryffindor in Book 4. She was the only character in Harry Potter to be named after a real person. Natalie McDonald was a Canadian girl with a fatal disease. who was a big Harry Potter fan. Her mother wrote to J.K. Rowling, and she wrote back saying secrets of the future books. Unfortunately, the letter arrived shortly after Natalie had died. J.K. Rowling then put her name in the book as a tribune to her."
Minerva McGonagall," Head of Gryffindor house and deputy headmistress of Hogwarts. She also sends the letters to the students inviting them to attend Hogwarts. She is an animagus, turning into a cat. She, like the rest of Gryffindor, likes to win the house and quidditch cup, urging on the Gryffindor team. She is transfiguration teacher at Hogwarts, and becomes headmistress at the end of Book 6, after the death of Professor Dumbledore."
M. G. McGonagall," A name that appears on a quidditch plaque next to James Potter’s. This name only appears in the Harry Potter film, not in the book. Probably not Professor McGonagall, seeing that she is much older than James Potter was."
Marlene McKinnon, A member of the Order of the Phoenix who was killed by death eaters along with her family (She appears in the photo Moody showed Harry in Book 5).
Cormac McLaggen," A loud mouth Gryffindor boy who tried out for keeper and was rejected. He was later put on the quidditch team for a short while, while Ron (who was Gryffindor keeper) was in the hospital wing. He also attended a Slughorn party with Hermione Granger (who invited him to make Ron jealous). During the one match that he played keeper, he took one of the beater’s bats and his it towards a Hufflepuff chaser. He missed it and hit Harry in the head, cracking his skull and knocking him unconscious."
Tibirius McLaggen," Cormac McLaggen’s uncle with whom he went hunting for nogtails with (Must be important, because Slughorn knows him and so does Rufus Scrimgeour)."
Dorcas Meadows, A member of the Order of the Phoenix who was killed by Voldemort personally.
Araminta Meliflua, A cousin of Sirius’s mother who tried to make a law about muggle hunting legal.
Merlin, Found on a wizard card and the most famous wizard of the medieval times (Probably the Dumbledore of his time)
Galatea Merrythought," A teacher who Tom Riddle asks Slughorn if she is retiring (while he was at school). She is, and Tom Riddle asked Dumbledore if he could apply for the job."
Merwyn the Malicious, Known for creating jinxes and curses.
Eloise Midget," A girl who had an acne problem and tried to curse them off, and as a result her nose fell off."
Milly, One of Newt Scamander’s pet kneazles.
Mimsy,"Porpington, Sir Nicholas de"
Cordelia Misericordia, Representatives for hags at the 14th century wizards council.
Moaning Myrtle," A ghost of a Hogwarts student who was killed by the Basilisk in a bathroom. She was very made fun of, and stalked the girl (Olive Hornby) who made her cry and go into the bathroom in the first place, until Olive complained to the Ministry of Magic, and was forced to live in her toilet. She helped Harry and Ron find out where the chamber of secrets was, and helped Harry in figuring out how to work the egg for the 2nd task in the Triwizard Tournament (along with helping him in the actual 2nd task, by telling him which way to go to get Ron)."
Cuthbert Mockridge, Head of the Goblin Liaison Office in the Ministry of Magic.
Montague, Chaser and Captain for the Slytherin quidditch team in Book 5. Also a member of Umbridge’s Inquisitorial squad who Fred and George stuffed in a vanishing cabinet after trying to take points from them. He was found a few days later in a toilet.
Montgomery, Sisters who attend Hogwarts. Their brother was attacked by a werewolf after their mother refused to help death eaters. He died in St. Mungo’s at the age of 5.
Alastor Moody, Nicknamed Mad
Moon, A student in Harry’s year (House unknown).
Moony," Remus Lupin’s (see Lupin, Remus J.) nickname at school."
Bodmin Moor,"The golden snitch evaded capture for six months on him in 1884, and both teams gave up because of the poor skills of their seekers."
Mopsus, Defeated the Seer Calchas.
Moran, Chaser for the Irish National Quidditch Team.
Gwendolyn Morgan, Captain of the Holyhead Harpies when they lost to the Heidelberg Harriers. The captain of the other team them proposed to her. She then hit him with her broomstick.
Morgana," See Le Fe, Morgana"
Morholt, Giant brother of the King of Ireland.
Mortlake, A man brought in for questioning to the ministry of magic for having odd ferrets made by experimental charms.
Mosag, Aragog’s wife.
Hassan Mostafa, The referee for the 422nd Quidditch World Cup. Also Chairwizard of the International Associate of Quidditch.
Mr. Paws, One of Mrs. Figg’s cats.
Mulciber, A death eater who specializes in the Imperius Curse. Was in Azkaban but escaped with other death eaters in Book 5. He fought for Voldemort in the department of mysteries at the end of Book 5.
Burdock Muldoon," Chief of Wizard’s Council 1448 to 1450. He declared that any creatures that walked on 2 legs was classified as a being, therefore excluding centaurs and mermaids."
Mullet, Chaser for the Irish National Quidditch Team.
Zacharias Mumps," Wrote a description of Quidditch in the 14th century that resembles Quidditch today. He describe d it as oval shaped, five hundred feet long, and one hundred and eighty feet wide with a small circle in the center. He also described the players."
Eric Munch, A security wizard at the Ministry of Magic checking wands and likes to read the daily prophet in Book 5. Also arrested Sturgis Podmore for trespassing in the ministry.
Muriel (Aunt), Reffered to as “Our Great Auntie Muriel” and Fleur wears her goblin
Murcus, Head of the mermaids that live in the Hogwarts lake.
Eunice Murray, Seeker for the Montrose Magpies who asked for the snitch to be faster.
Myrtle," A ghost of a Hogwarts student who was killed by the Basilisk in a bathroom. She was very made fun of, and stalked the girl (Olive Hornby) who made her cry and go into the bathroom in the first place, until Olive complained to the Ministry of Magic, and was forced to live in her toilet. She helped Harry and Ron find out where the chamber of secrets was, and helped Harry in figuring out how to work the egg for the 2nd task in the Triwizard Tournament (along with helping him in the actual 2nd task, by telling him which way to go to get Ron)."
Nagini, Voldemort’s 12 foot long snake who may be a horcrux.
Nearly Headless Nick," The nickname of the Gryffindor house ghost. His head is barely connected to him, with about 1/2 an inch of skin; therefore never being let into the headless hunt; which he desires to join. He was hit with a blunt axe 45 times before dying."
Madam Z Nettles, A witch from Topsham who used Kwikspell and claimed that it worked.
Phineas Nigellus, The great
Norbert, A dragon that Hagrid illegally hatched in Book 1. He was forced to send it to Romania with Charlie Weasley.
Mrs. Norris, The best friend and cat of the caretaker Argus Filch. Helps him to find students and get them in trouble.
Nott, A death eater who never went to Azkaban and went to Voldemort’s rebirth party. Fought in the Department of Mysteries in Book 5. His son is a friend of Draco Malfoy’s at Hogwarts (below).
Theodore Nott, A “weedy
Honoria Nutcombe," Founded The Society for the Reformation of Hags. Was wizard of the month on J.K. Rowling’s official site for August, 2004."
Oblansk, Bulgarian Minister of Magic. Is introduced in Book 4 by Cornelius Fudge who cannot pronounce his name.
Odo, A song that was about him dying Slughorn sang after they buried the dead Aragog. May also be Odo the Hero.
Bob Ogden," The muggle born man in the pensive in Book 6. An employee for the department of Magical Law Enforcement. He went to see Morfin Gaunt about using magic on muggles. He sees Merope, Morfin, and Marvolo Gaunt in the House. This vision helps Harry see where Voldemort (Tom Riddle"
Tiberius Ogden, A wizard friend of Professor Tofty who tells him that Harry can produce a patronus. He is a Wizengamot elder who resigns after Umbridge becomes High Inquisitor.
Ogg, The gamekeeper at Hogwarts before Hagrid when Mr. and Mrs. Weasley were students.
Dunbar Oglethorpe, Chief of Q.U.A.B.B.L.E. (Quidditch Union for the Administration and Betterment of the British League and its Endeavors).
Darren O’Hare, Keeper for the Kestrels and captain of the Irish National Quidditch team (though not the one in Book 4).
Olaf, Cousin of Goodwin Kneen; his cousin wrote to him about the game of “quidditch” (as it was known in the 12th century).
Chauncey Oldridge," First known victim of dragon pox. Wizard of the month on J.K. Rowling’s official site in July, 2005."
Gondoline Oliphant," Studied the habits of trolls. Was the Wizard of the month on J.K. Rowling’s official site for April, 2005."
Barnaby Ollerton, Started the Cleansweep broom company with his brothers Bob and Bill (Below).
Bill Ollerton," Started the Cleansweep broom company with his brothers Barnaby (above) and bob (below,)"
Bob Ollerton, Started the Cleansweep broom company with his brothers Barnaby and Bill (above).
Gifford Ollerton, A famous giant slayer.
Ollivander," An old man who owns the wand shop Ollivander and is known as the best wand maker in Brittain. He sells Harry his wand (along with Voldemort’s, James Potter, and Lily’s Evans). He also performs the weighing of the wands ceremony in Book 4 for the champions of the Triwizard tournament. He also disappears at the beginning of the second wizarding war. We find out in Deathly Hallows that he was kidnapped by Voldemort so he could learn about the wand connection between him and Harry and the Elder Wand."
Oona, Provided a local quidditch team with barrels to make the goal posts in the 10th century.
Padfoot, The nickname of Sirius Black given to him by his friends when he was at school.
Paracelsus, A person who appears on the first chocolate frog card and has a bust of him in the route from the Gryffindor common room to the owlery.
Walter Parkin, A butcher who’s children were the Wigtown wanderer’s. He would stand on the side of the field with a butcher knife to scare the other team.
Pansy Parkinson," A Slytherin girl in Harry’s year who is friends with Draco Malfoy. She attended the Yule ball with Malfoy, and is often seen hanging around him. She was also in Umbridge’s inquisitorial squad."
Padma Patil," A Ravenclaw girl in Harry’s year who is the twin sister of Gryffindor Pavarti Patil (below). She went to the Yule ball as Ron’s date, and was made a prefect in Book 5. She and her sister are both members of the D.A. Her and her sister are said to be the prettiest girls in Harry’s year."
Pavarti Patil," A Gryffindor girl in Harry’s year who has a twin sister in Ravenclaw; Padma Patil (above). She has long dark hair and is said to be the prettiest girl in their grade (along with her sister). She attended the Yule ball with Harry. Her favorite subject is divination, and her favorite teacher is Trelawney. She also joined the D.A. in Book 5."
Mr. Paws, One of Mrs. Figg’s cats.
Payne, The site manager for the are where The Diggory’s are staying at the Quidditch World Cup.
Glanmore Peakes, Was famous for slaying a sea serpent.
Jimmy Peakes, A boy described as short but broad
Abraham Peasegood, A wizard who invented the game of Quodpot.
